icofont-news,news
icofont-newspaper,newspaper
icofont-no-smoking,no-smoking
icofont-not-allowed,not-allowed
icofont-notebook,notebook
icofont-notepad,notepad
icofont-notification,notification
icofont-numbered,numbered
icofont-opposite,opposite
icofont-optic,optic
icofont-options,options
icofont-package,package
icofont-page,page
icofont-paint,paint
icofont-paper-plane,paper-plane
icofont-paperclip,paperclip
icofont-papers,papers
icofont-pay,pay
icofont-penguin-linux,penguin-linux
icofont-pestle,pestle
icofont-phone-circle,phone-circle
icofont-phone,phone
icofont-picture,picture
icofont-pine,pine
icofont-pixels,pixels
icofont-plugin,plugin
icofont-plus-circle,plus-circle
icofont-plus-square,plus-square
icofont-plus,plus
icofont-polygonal,polygonal
icofont-power,power
icofont-price,price
icofont-print,print
icofont-puzzle,puzzle
icofont-qr-code,qr-code
icofont-queen,queen
icofont-question-circle,question-circle
icofont-question-square,question-square
icofont-question,question
icofont-quote-left,quote-left
icofont-quote-right,quote-right
icofont-random,random
icofont-recycle,recycle
icofont-refresh,refresh
icofont-repair,repair
icofont-reply-all,reply-all
icofont-reply,reply
icofont-resize,resize
icofont-responsive,responsive
icofont-retweet,retweet
icofont-road,road
icofont-robot,robot
icofont-royal,royal
icofont-rss-feed,rss-feed
icofont-safety,safety
icofont-sale-discount,sale-discount
icofont-satellite,satellite
icofont-send-mail,send-mail
icofont-server,server
icofont-settings-alt,settings-alt
icofont-settings,settings
icofont-share-alt,share-alt
icofont-share-boxed,share-boxed
icofont-share,share
icofont-shield,shield
icofont-shopping-cart,shopping-cart
icofont-sign-in,sign-in
icofont-sign-out,sign-out
icofont-signal,signal
icofont-site-map,site-map
icofont-smart-phone,smart-phone
icofont-soccer,soccer
icofont-sort-alt,sort-alt
icofont-sort,sort
icofont-space,space
icofont-spanner,spanner
icofont-speech-comments,speech-comments
icofont-speed-meter,speed-meter
icofont-spinner-alt-1,spinner-alt-1
icofont-spinner-alt-2,spinner-alt-2
icofont-spinner-alt-3,spinner-alt-3
icofont-spinner-alt-4,spinner-alt-4
icofont-spinner-alt-5,spinner-alt-5
icofont-spinner-alt-6,spinner-alt-6
icofont-spinner,spinner
icofont-spreadsheet,spreadsheet
icofont-square,square
icofont-ssl-security,ssl-security
icofont-star-alt-1,star-alt-1
icofont-star-alt-2,star-alt-2
icofont-star,star
icofont-street-view,street-view
icofont-support-faq,support-faq
icofont-tack-pin,tack-pin
icofont-tag,tag
icofont-tags,tags
icofont-tasks-alt,tasks-alt
icofont-tasks,tasks
icofont-telephone,telephone
icofont-telescope,telescope
icofont-terminal,terminal
icofont-thumbs-down,thumbs-down
icofont-thumbs-up,thumbs-up
icofont-tick-boxed,tick-boxed
icofont-tick-mark,tick-mark
icofont-ticket,ticket
icofont-tie,tie
icofont-toggle-off,toggle-off
icofont-toggle-on,toggle-on
icofont-tools-alt-2,tools-alt-2
icofont-tools,tools
icofont-touch,touch
icofont-traffic-light,traffic-light
icofont-transparent,transparent
icofont-tree,tree
icofont-unique-idea,unique-idea
icofont-unlock,unlock
icofont-unlocked,unlocked
icofont-upload-alt,upload-alt
icofont-upload,upload
icofont-usb-drive,usb-drive
icofont-usb,usb
icofont-vector-path,vector-path
icofont-verification-check,verification-check
icofont-wall-clock,wall-clock
icofont-wall,wall
icofont-wallet,wallet
icofont-warning-alt,warning-alt
icofont-warning,warning
icofont-water-drop,water-drop
icofont-web,web
icofont-wheelchair,wheelchair
icofont-wifi-alt,wifi-alt
icofont-wifi,wifi
icofont-world,world
icofont-zigzag,zigzag
icofont-zipped,zipped
	
